# BEGIN PLOT
DrawOnly=/home/iwsatlas1/scyboz/Work/Herwig/Rivet.yoda/ATLAS_histo/Pt1
YLabel=$\mathrm{d}\sigma/\mathrm{dp}_{\mathrm{T}}$ [pb]
XLabel=$1^\mathrm{st}$ jet $\mathrm{p}_\mathrm{T}$ [GeV]
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/Herwig/Rivet.yoda/ATLAS_histo/Pt1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/Herwig/Rivet.yoda/ATLAS_histo/Pt1
ScaledBy=9.2489826119126898e-05
Title=Rivet
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	4.500000e+01	2.435565e-03	1.225466e-04	1.225466e-04
4.500000e+01	6.000000e+01	8.145273e-03	2.241063e-04	2.241063e-04
6.000000e+01	7.500000e+01	1.091997e-02	2.594849e-04	2.594849e-04
7.500000e+01	9.000000e+01	1.152423e-02	2.665676e-04	2.665676e-04
9.000000e+01	1.050000e+02	9.372300e-03	2.403945e-04	2.403945e-04
1.050000e+02	1.200000e+02	7.140213e-03	2.098249e-04	2.098249e-04
1.200000e+02	1.350000e+02	4.815637e-03	1.723170e-04	1.723170e-04
1.350000e+02	1.500000e+02	3.428289e-03	1.453919e-04	1.453919e-04
1.500000e+02	1.650000e+02	2.478727e-03	1.236277e-04	1.236277e-04
1.650000e+02	1.800000e+02	1.818967e-03	1.059043e-04	1.059043e-04
1.800000e+02	1.950000e+02	1.196202e-03	8.588227e-05	8.588227e-05
1.950000e+02	2.100000e+02	9.125660e-04	7.501247e-05	7.501247e-05
2.100000e+02	2.250000e+02	6.659267e-04	6.407883e-05	6.407883e-05
2.250000e+02	2.400000e+02	3.946233e-04	4.932791e-05	4.932791e-05
2.400000e+02	2.550000e+02	2.466395e-04	3.899713e-05	3.899713e-05
2.550000e+02	2.700000e+02	2.343075e-04	3.800971e-05	3.800971e-05
2.700000e+02	2.850000e+02	1.726477e-04	3.262734e-05	3.262734e-05
2.850000e+02	3.000000e+02	1.911457e-04	3.433077e-05	3.433077e-05
# END HISTO1D

