# BEGIN PLOT
DrawOnly=/home/iwsatlas1/scyboz/Work/Herwig/Rivet.yoda/ATLAS_histo/deltaRl
YLabel=$\mathrm{d}\sigma/\Delta \mathrm{R}$ [pb]
XLabel=Separation of the two leptons $\Delta \mathrm{R}_{\mathrm{ll}}$
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/Herwig/Rivet.yoda/ATLAS_histo/deltaRl
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/Herwig/Rivet.yoda/ATLAS_histo/deltaRl
ScaledBy=0.00014757969303423848
Title=Rivet
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	2.582644e-02	4.365466e-03	4.365466e-03
2.000000e-01	4.000000e-01	6.641085e-02	7.000320e-03	7.000320e-03
4.000000e-01	6.000000e-01	9.666470e-02	8.445633e-03	8.445633e-03
6.000000e-01	8.000000e-01	1.497934e-01	1.051343e-02	1.051343e-02
8.000000e-01	1.000000e+00	1.667651e-01	1.109305e-02	1.109305e-02
1.000000e+00	1.200000e+00	2.213696e-01	1.278078e-02	1.278078e-02
1.200000e+00	1.400000e+00	2.619540e-01	1.390307e-02	1.390307e-02
1.400000e+00	1.600000e+00	2.899941e-01	1.462827e-02	1.462827e-02
1.600000e+00	1.800000e+00	3.010626e-01	1.490482e-02	1.490482e-02
1.800000e+00	2.000000e+00	3.165585e-01	1.528359e-02	1.528359e-02
2.000000e+00	2.200000e+00	3.578807e-01	1.625053e-02	1.625053e-02
2.200000e+00	2.400000e+00	4.080579e-01	1.735238e-02	1.735238e-02
2.400000e+00	2.600000e+00	4.176505e-01	1.755516e-02	1.755516e-02
2.600000e+00	2.800000e+00	4.220779e-01	1.764797e-02	1.764797e-02
2.800000e+00	3.000000e+00	4.604486e-01	1.843270e-02	1.843270e-02
3.000000e+00	3.200000e+00	4.774203e-01	1.876933e-02	1.876933e-02
3.200000e+00	3.400000e+00	2.368654e-01	1.322054e-02	1.322054e-02
3.400000e+00	3.600000e+00	1.542208e-01	1.066767e-02	1.066767e-02
3.600000e+00	3.800000e+00	6.567295e-02	6.961320e-03	6.961320e-03
3.800000e+00	4.000000e+00	5.460450e-02	6.347643e-03	6.347643e-03
# END HISTO1D

