# BEGIN PLOT
DrawOnly=johannes.yoda/ATLAS_histo/Mlb Rivet_ATLASHNEW_FULL_HThalf.yoda/ATLAS_histo/Mlb
RatioPlotReference=johannes.yoda/ATLAS_histo/Mlb
RatioPlot=1
LogY=1
LegendXPos=0.65
XLabel=$\mathrm{m}_\mathrm{lb}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{dm}_{\mathrm{lb}}$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D johannes.yoda/ATLAS_histo/Mlb
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=johannes.yoda/ATLAS_histo/Mlb
Title=johannes
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.600000e+01	6.943358e-08	2.688880e-08	2.688880e-08
1.600000e+01	2.400000e+01	1.058791e-05	5.545169e-07	5.545169e-07
2.400000e+01	3.200000e+01	8.226675e-05	1.548904e-06	1.548904e-06
3.200000e+01	4.000000e+01	2.671752e-04	2.773794e-06	2.773794e-06
4.000000e+01	4.800000e+01	6.395203e-04	4.336206e-06	4.336206e-06
4.800000e+01	5.600000e+01	1.300953e-03	6.266320e-06	6.266320e-06
5.600000e+01	6.400000e+01	2.319509e-03	8.514271e-06	8.514271e-06
6.400000e+01	7.200000e+01	3.684000e-03	1.091420e-05	1.091420e-05
7.200000e+01	8.000000e+01	5.262277e-03	1.309832e-05	1.309832e-05
8.000000e+01	8.800000e+01	6.767958e-03	1.487799e-05	1.487799e-05
8.800000e+01	9.600000e+01	7.768348e-03	1.587089e-05	1.587089e-05
9.600000e+01	1.040000e+02	8.026400e-03	1.585660e-05	1.585660e-05
1.040000e+02	1.120000e+02	7.432209e-03	1.464146e-05	1.464146e-05
1.120000e+02	1.200000e+02	6.038858e-03	1.235626e-05	1.235626e-05
1.200000e+02	1.280000e+02	4.097976e-03	9.232282e-06	9.232282e-06
1.280000e+02	1.360000e+02	2.152730e-03	5.964334e-06	5.964334e-06
1.360000e+02	1.440000e+02	7.628034e-04	3.178713e-06	3.178713e-06
1.440000e+02	1.520000e+02	1.710201e-04	2.116735e-06	2.116735e-06
1.520000e+02	1.600000e+02	6.374713e-05	1.933989e-06	1.933989e-06
1.600000e+02	1.680000e+02	4.335827e-05	1.638889e-06	1.638889e-06
1.680000e+02	1.760000e+02	3.360855e-05	1.766261e-06	1.766261e-06
1.760000e+02	1.840000e+02	2.440600e-05	1.536746e-06	1.536746e-06
1.840000e+02	1.920000e+02	1.829057e-05	1.361372e-06	1.361372e-06
1.920000e+02	2.000000e+02	1.749633e-05	3.197952e-06	3.197952e-06
# END HISTO1D

# BEGIN HISTO1D Rivet_ATLASHNEW_FULL_HThalf.yoda/ATLAS_histo/Mlb
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=Rivet_ATLASHNEW_FULL_HThalf.yoda/ATLAS_histo/Mlb
ScaledBy=6.8492600264430578e-06
Title=Rivet_ATLASHNEW_FULL_HThalf
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.400000e+01	5.427182e-06	3.133385e-06	3.133385e-06
2.400000e+01	3.200000e+01	7.417149e-05	1.158364e-05	1.158364e-05
3.200000e+01	4.000000e+01	2.315598e-04	2.046719e-05	2.046719e-05
4.000000e+01	4.800000e+01	6.006081e-04	3.296266e-05	3.296266e-05
4.800000e+01	5.600000e+01	1.201216e-03	4.661624e-05	4.661624e-05
5.600000e+01	6.400000e+01	1.921222e-03	5.895429e-05	5.895429e-05
6.400000e+01	7.200000e+01	3.013895e-03	7.383983e-05	7.383983e-05
7.200000e+01	8.000000e+01	4.171694e-03	8.687260e-05	8.687260e-05
8.000000e+01	8.800000e+01	5.179341e-03	9.679743e-05	9.679743e-05
8.800000e+01	9.600000e+01	5.488690e-03	9.964625e-05	9.964625e-05
9.600000e+01	1.040000e+02	5.269794e-03	9.763902e-05	9.763902e-05
1.040000e+02	1.120000e+02	4.397826e-03	8.919605e-05	8.919605e-05
1.120000e+02	1.200000e+02	3.053695e-03	7.432576e-05	7.432576e-05
1.200000e+02	1.280000e+02	1.729462e-03	5.593480e-05	5.593480e-05
1.280000e+02	1.360000e+02	6.476437e-04	3.422904e-05	3.422904e-05
1.360000e+02	1.440000e+02	1.519611e-04	1.658032e-05	1.658032e-05
1.440000e+02	1.520000e+02	4.884464e-05	9.400155e-06	9.400155e-06
1.520000e+02	1.600000e+02	2.532685e-05	6.768886e-06	6.768886e-06
1.600000e+02	1.680000e+02	2.894497e-05	7.236243e-06	7.236243e-06
1.680000e+02	1.760000e+02	1.989968e-05	5.999977e-06	5.999977e-06
1.760000e+02	1.840000e+02	1.085436e-05	4.431276e-06	4.431276e-06
1.840000e+02	1.920000e+02	1.266342e-05	4.786325e-06	4.786325e-06
1.920000e+02	2.000000e+02	9.045304e-06	4.045182e-06	4.045182e-06
# END HISTO1D

